en,cn,count,r18
youhei (testament),友黑（遗嘱）,127,0
yuunagi middle school uniform,yuunagi 中学制服,127,0
zuizou,嘴走,127,0
14sai bishoujo (shoutarou),14sai bishoujo (shoutarou),126,0
1672,1672,126,0
3 (sanyako1),3 (sanyako1),126,0
49s-aragon,49s-阿拉贡,126,0
abe inori,阿部伊诺里,126,0
abutomato,abutomato,126,0
aikawa chinatsu,合川 chinatsu,126,0
ajiriko,网尻子,126,0
ak-74,AK-74,126,0
akashi seijuurou,明石征十郎,126,0
akashi yuuna,明石优奈,126,0
akikawa yayoi (umamusume),秋川弥生 (umamusume),126,0
akisha,秋莎,126,0
akito (d30n26),秋户 (d30n26),126,0
alolan meowth,阿罗兰喵喵,126,0
alphy,阿尔菲,126,0
ao (flowerclasse),ao (花类),126,0
aoki lapis,青木青金石,126,0
aquila (azur lane),天鹰座（碧蓝航线）,126,0
arkapami,阿卡帕米,126,0
arondight (fate),arondight（命运）,126,0
arslan senki,阿尔斯兰战记,126,0
asakura nemu,朝仓心目,126,0
azmaria hendric,阿兹玛丽亚亨德里克,126,0
azu-taro,芋头,126,0
azuma minatsu,吾妻水夏,126,0
backflip,后空翻,126,0
baketsuya,烘焙屋,126,0
bandaid hair ornament,创可贴发饰,126,0
barbariccia,芭露芭莉希娅,126,0
barmaid,招待员（中世纪或异世界）,126,0
basquash!,巴斯南瓜！,126,0
bisected,腰部截断,126,0
black beat,黑节拍,126,0
bodycon,紧身迷你裙,126,0
braided beard,编织胡须,126,0
breast biting,咬胸,126,1
brown sky,棕色的天空,126,0
btraphen,苯丙氨酸,126,0
bunny ear legwear,兔耳裤,126,0
bushidou 2 (sekaiju),武士道 2 (sekaiju),126,0
carte,点菜,126,0
cha goma,查戈马,126,0
checkered panties,格纹内裤,126,1
chel (the road to el dorado),chel（通往埃尔多拉多的道路）,126,0
chobipero,乔比佩罗,126,0
chokutou,直刀,126,0
clip,夹子,126,0
cosmic & funny (idolmaster),宇宙风趣（偶像大师）,126,0
crash bandicoot (series),撞车袋狸（系列）,126,0
crazy raccoon,疯狂的浣熊,126,0
cure black (cosplay),治愈黑（cosplay）,126,0
daiba canon,台场佳能,126,0
decapre,迪卡普莉,126,0
deto,德托,126,0
diana (league of legends),戴安娜（英雄联盟）,126,0
dilated pupils,瞳孔散大,126,0
dildo harness,假阳具线束,126,1
dimension w,尺寸 w,126,0
dreamlight2000,梦光2000,126,0
drowzee,催眠貘,126,0
eclair (kiddy grade),泡芙（儿童级）,126,0
enjoji michiru,enjoji michiru,126,0
erica fontaine,埃丽卡方丹,126,0
eruthika,eruthika,126,0
exit sign,出口标志,126,0
faba (pokemon),蚕豆（口袋妖怪）,126,0
family computer robot,家庭电脑机器人,126,0
fang assassin irma,方刺客艾玛,126,0
fanta,芬达,126,0
fault!!,错！！,126,0
fender telecaster,挡泥板电视广播机,126,0
foongus,哎呀球菇,126,0
foot on face,脚踩脸,126,0
fubuki (kancolle) (cosplay),fubuki (kancolle) (cosplay),126,0
fujiwara gacho,藤原gacho,126,0
furahata gen,富畑元,126,0
fuwafuwa time,福娃福娃时间,126,0
g-self,高达 g-自我,126,0
geneva bowers,日内瓦凉亭,126,0
gin fragrans,杜松子酒,126,0
glance,瞥一眼,126,0
glenn andrean,格伦·安德烈,126,0
gundam aerial,高达航空,126,0
gym leader badge,健身房领袖徽章,126,0
h&k psg1,h&k psg1,126,0
h&k usp,h&k USP,126,0
hagimura suzu,萩村铃,126,0
hai (h81908190),海 (h81908190),126,0
haluka (aixioo),哈卢卡 (aixioo),126,0
hamo (dog),哈莫（狗）,126,0
hata kenjirou,畑健次郎,126,0
hazuki (nyorosuke),hazuki (nyorosuke),126,0
heart ring top,心形戒指顶部,126,0
heel-less heels,无跟高跟鞋,126,0
hinayuki usa,日之雪美国,126,0
hisama kumako,久间熊子,126,0
hizukiryou,hizukiryyou,126,0
honda tamanosuke,本田玉之助,126,0
huyuharu0214,huyuharu0214,126,0
ice (ice aptx),冰（冰 aptx）,126,0
ijuuin hokuto,ijuuin北斗,126,0
iltusa,伊尔图萨,126,0
implied rape,默示强奸,126,1
impossible hair,不可能的头发,126,0
in basket,在篮子里,126,0
indonesian text,印度尼西亚文,126,0
insane black rock shooter,疯狂的黑岩射手,126,0
irohakaede,126,126,0
itamidome,itamidome,126,0
iyou,爱优,126,0
janyhero,杰尼英雄,126,0
jeff andonuts,杰夫甜甜圈,126,0
jodhpurs,马裤,126,0
judau ashta,朱道阿什塔,126,0
kamekichi,浦岛虎彻,126,0
kanacho,金长,126,0
kanaria (fuusenkazura),kanaria (fuusenkazura),126,0
kanipanda,卡尼潘达,126,0
kasuga (sengoku basara),春日（战国basara）,126,0
kazami youka (yokochu),风见妖花 (yokochu),126,0
kazooie (banjo-kazooie),kazooie（班卓琴-kazooie）,126,0
kemeko deluxe,kemeko 豪华型,126,0
khiara (personal ami),khiara（个人 ami）,126,0
kimino tomonari,和野友成,126,0
kinuko (kinucakes),kinuko (kinucakes),126,0
kirino ranmaru (mixi max jeanne d'arc),桐野兰丸 (mixi max jeanne d'arc),126,0
kobanzame,kobanzame,126,0
kojiki-life,小事生活,126,0
kouta.,库塔.,126,0
koza900,koza900,126,0
kuga yuuma,久我游马,126,0
kumai natsu,熊米夏,126,0
kurenai no buta,红内的布塔,126,0
kurokoeda,黑小枝126,126,0
kusakabe maron,日下马龙,126,0
kutata,苦田,126,0
kztk,kztk,126,0
lamborghini,兰博基尼,126,0
len (hand linke),len（手动链接）,126,0
like and retweet,喜欢并转发,126,0
lilica felchenerow,百合 felchenerow,126,0
liquid clothes,液体衣物,126,0
luka (mon-musu quest!),卢卡（mon-musu 任务！）,126,0
lumarianne20,卢玛丽安20,126,0
lyle dylandy,莱尔·迪兰迪,126,0
mach caliber,马赫口径,126,0
maco spl,maco spl,126,0
mahou shoujo lyrical nanoha a's portable: the gears of destiny,mahou shoujo 抒情 nanoha a 的便携式：命运的齿轮,126,0
makidera kaede,牧寺枫,126,0
mana khemia (series),法力克米亚（系列）,126,0
mandibles,下颌骨,126,0
mankanshoku barazou,mankanshoku barazou,126,0
maru ccy,马鲁 ccy,126,0
mash kyrielight (formal dress),mash kyrielight（正装）,126,0
meguro fukuzou,目黑福藏,126,0
meimei (p&d),美美 (p&d),126,0
mettaton,Mettaton（传说之下）,126,0
mikan-uji,御寒寺,126,0
mimi (mimi puru),咪咪（咪咪普鲁）,126,0
minami seira,南清良,126,0
miri (tobira no mukou),美里 (tobira no mukou),126,0
miyoshi (triple luck),三好（三好）,126,0
mizuki kyou,水木镜,126,0
mks,MK,126,0
moira (nijisanji),moira (nijisanji),126,0
momomeno (7th dragon),momomeno（第七龙）,126,0
morichika rinnosuke (cosplay),morichika rinnosuke (cosplay),126,0
moriya shrine,守谷神社,126,0
my pet tentacle monster,我的宠物触手怪物,126,0
mzet,mzet,126,0
nagare hyougo,流兵兵库,126,0
nakatsukasa tsubaki,中笠椿,126,0
nanana (chicken union),nanana（鸡联盟）,126,0
nancou (nankou),南凑（南口）,126,0
nb (pixiv594732),nb (pixiv594732),126,0
neck pillow,颈枕,126,0
nekotewi,nekotewi,126,0
ningen mame,人间豆豆,126,0
