en,cn,count,r18
highly detailed,精细,9999999,0
extremely detailed 8K wallpaper,高级背景,9999999,0
extremely detailed cg unity 8k wallpaper,高级 3D 背景,9999999,0
nsfw,nsfw,9999999,1
ultra-detailed,极精细,9999999,0
best quality,高质量,9999999,0
masterpiece,杰作,9999999,0
illustration,插画,9999999,0
vertical painting,立绘,9999999,0
pop art,波普艺术,9999999,0
warm toned,暖色调,9999999,0
code toned,冷色调,9999999,0
impressionism,印象派,9999999,0
photorealistic,照片现实画风,9999999,0
impasto,厚涂,9999999,0
dynamic angle,动态视角,9999999,0
storyboards,故事板,9999999,0
frame,边框/框架,9999999,0
fill the screen,充满屏幕,9999999,0
fantasy style,幻想风格,9999999,0
creative frame design,创意边框设计,9999999,0
speak arrow symbol,多格人物画,9999999,0
minimalist-lines,极简线条,9999999,0
soft and clear lines,柔和清晰的线条,9999999,0
huge clocks,大钟,9999999,0
cute face,可爱的脸,9999999,0
disheveled hair,蓬松头发,9999999,0
floating glass fragments,飘飞的玻璃碎片,9999999,0
dark intense shadows,极黑的阴影,9999999,0
cinematic lighting,电影照明效果,9999999,0
art of light,艺术打光,9999999,0
artist style,艺术家画风,9999999,0
cinematic angle,电影视角,9999999,0
extremely detailed,非常精细,9999999,0
extremely detailed cg,CG 风格,9999999,0
extremely detailed cg unity 8k,3D CG 风格,9999999,0
4k,4K,9999999,0
unity creations,Unity 产物,9999999,0
pure white broken sky,纯白色破碎天空,9999999,0
a world that shatters like glass,像玻璃一样破碎的世界,9999999,0
precise machinery,精细机械风,9999999,0
mechanical structure,机械结构,9999999,0
transformation by mechanization,机械化改造,9999999,0
floating airship above,漂浮飞艇在上方,9999999,0
rococo,洛可可风格,9999999,0
best shadow,最好的阴影,9999999,0
1girl,1个女孩,3663973,0
1 girl,1个女孩,3663973,0
solo,一个人,3053641,0
highres,高分辨率,2665721,0
long hair,长发,2578970,0
fluffy hair,散乱的长发,2578970,0
commentary request,评论请求,2346332,0
breasts,(露)胸部,2001847,1
looking at viewer,看着观众,1789449,0
facing the lens,面向镜头,1789449,0
blush,脸红,1770482,0
smile,笑,1642260,0
short hair,短发,1364561,0
open mouth,张开嘴,1353940,0
bangs,刘海,1278666,0
blue eyes,蓝眼睛,1062389,0
multiple girls,多个女孩,979395,0
skirt,裙子,956212,0
blonde hair,金发,955290,0
large breasts,大胸,934549,1
brown hair,棕色头发,933123,0
simple background,简单的背景,916212,0
shirt,衬衫,846430,0
black hair,黑发,845850,0
hair ornament,发饰,809111,0
absurdres,非常高的分辨率,783860,0
red eyes,红眼睛,779475,0
beautiful detailed eyes,漂亮的眼睛,779475,0
thighhighs,长筒袜,777397,0
hat,帽子,767749,0
gloves,手套,764559,0
1boy,一个男孩,757275,0
1 boy,一个男孩,757275,0
bad id,错误的 ID,755740,0
long sleeves,长袖,751770,0
big top sleeves,大顶袖,751770,0
white background,白色背景,747657,0
dress,连衣裙,723544,0
original,原版,713533,0
ribbon,丝带,692784,0
ribbons,丝带,692784,0
touhou,东方,689133,0
bow,蝴蝶结,689044,0
navel,(露)肚脐,677066,0
bad pixiv id,劣质 pixiv id,636694,0
2girls,2个女孩,636597,0
photoshop (medium),照片集,632519,0
holding,手持,616193,0
animal ears,兽耳,615717,0
cleavage,乳沟,598105,1
hair between eyes,头发在两眼之间,585904,0
bare shoulders,露肩,566928,0
brown eyes,棕色的眼睛,564947,0
twintails,双马尾辫,564006,0
medium breasts,中等大小胸部,556362,1
commentary,注释,554808,0
jewelry,珠宝首饰,552567,0
brass jewelry,黄铜珠宝,552567,0
brass gear,黄铜齿轮,552567,0
metal texture,金属纹理,552567,0
metal carving,金属雕刻,552567,0
sitting,坐姿,544503,0
very long hair,超头发,533988,0
underwear,内衣,531948,1
white underwear,白色内衣,531948,1
striped underwear,条纹内衣,531948,1
closed mouth,闭嘴,520560,0
nipples,露乳头,512054,1
pink nipples,粉色乳头,512054,1
school uniform,校服,508447,0
high school uniform,高中校服,508447,0
JK,高中校服,508447,0
green eyes,绿眼睛,506172,0
blue hair,蓝色的头发,487376,0
standing,站姿,473056,0
purple eyes,紫色的眼睛,463120,0
collarbone,锁骨,448824,0
